,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
178,,,0.0038,760273102,2021-06-02,Buy,ARKG,REPARE THERAPEUTICS INC,9704,RPTX
179,,,0.0011,72940R300,2021-06-02,Sell,ARKG,PLURISTEM THERAPEUTICS INC,23702,PSTI
180,,,0.0449,66987V109,2021-06-02,Sell,ARKG,NOVARTIS AG,41594,NVS
181,,,0.013,40131M109,2021-06-02,Sell,ARKG,GUARDANT HEALTH INC,9016,GH
182,,,0.1064,88025U109,2021-06-02,Sell,ARKG,10X GENOMICS INC,49385,TXG
183,,,0.0001,68620A203,2021-06-02,Sell,ARKK,ORGANOVO HOLDINGS INC,2538,ONVO
184,,,0.2042,46120E602,2021-06-02,Buy,ARKQ,INTUITIVE SURGICAL INC,7259,ISRG
185,,,0.0616,50077B207,2021-06-02,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,72725,KTOS
186,,,0.0613,65481N100,2021-06-02,Buy,ARKQ,NIU TECHNOLOGIES,53389,NIU
187,,,0.0041,G50740102,2021-06-02,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,12000,SPFR
188,,,0.0026,G3770A102,2021-06-02,Sell,ARKQ,GALILEO ACQUISITION CORP,7500,GLEO
189,,,0.1757,880770102,2021-06-02,Sell,ARKQ,TERADYNE INC,39721,TER
190,,,0.4904,29786A106,2021-06-02,Buy,ARKW,ETSY INC,157181,ETSY
191,,,0.0331,92921W300,2021-06-02,Buy,ARKW,VUZIX CORP,98151,VUZI
192,,,0.4334,45866F104,2021-06-02,Sell,ARKW,INTERCONTINENTAL EXCHANGE INC,215679,ICE
193,,,0.0833,G7483N129,2021-06-02,Buy,ARKX,REINVENT TECHNOLOGY PARTNERS,52526,RTP
194,,,0.2502,880770102,2021-06-02,Sell,ARKX,TERADYNE INC,11981,TER
195,,,0.0238,48581R205,2021-06-01,Buy,ARKF,KASPI.KZ JSC,8915,KSPILI
196,,,0.1608,922475108,2021-06-01,Buy,ARKG,VEEVA SYSTEMS INC,46386,VEEV
197,,,0.1031,82671G100,2021-06-01,Buy,ARKG,SIGNIFY HEALTH INC,340872,SGFY
198,,,0.0499,81578P106,2021-06-01,Buy,ARKG,SEER INC,145050,SEER
199,,,0.003,760273102,2021-06-01,Buy,ARKG,REPARE THERAPEUTICS INC,7676,RPTX
200,,,0.0001,65443P102,2021-06-01,Buy,ARKG,908 DEVICES INC,229,MASS
201,,,0.0006,18978W109,2021-06-01,Buy,ARKG,CM LIFE SCIENCES INC,4000,CMLF
202,,,0.0003,125842203,2021-06-01,Buy,ARKG,CM LIFE SCIENCES II INC,1800,CMIIU
203,,,0.0025,192005106,2021-06-01,Buy,ARKG,CODEXIS INC,10000,CDXS
204,,,0.001,72940R300,2021-06-01,Sell,ARKG,PLURISTEM THERAPEUTICS INC,21800,PSTI
205,,,0.0327,40131M109,2021-06-01,Sell,ARKG,GUARDANT HEALTH INC,22566,GH
206,,,0.1966,88025U109,2021-06-01,Sell,ARKG,10X GENOMICS INC,92442,TXG
207,,,0.0355,30063P105,2021-06-01,Buy,ARKK,EXACT SCIENCES CORP,69430,EXAS
208,,,0.0338,G50740102,2021-06-01,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,100000,SPFR
209,,,0.2946,46120E602,2021-06-01,Buy,ARKQ,INTUITIVE SURGICAL INC,10422,ISRG
210,,,0.0005,50077B207,2021-06-01,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,570,KTOS
